input,output
"put it somewhere else patrick meme", "no really. Not there. Anywhere but there 😬"
"i’ll just wait here meme", "waiting for something to happen... eventually ⏳"
"monkey puppet meme", "pretending like I don’t see you avoiding eye contact 🙈"
"be like bill meme", "just be like Bill. Bill’s got it together 🤓"
"sad pablo escobar meme", "waiting for life to get better... any day now 😔"
"bad pun dog meme", "punny dog is punny 😂"
"sparta leonidas meme", "this is SPARTA! 💥"
"aaaand its gone meme", "just when you thought it was safe... 🥲"
"confession bear meme", "confessing all the things I did wrong 🐻"
"maury lie detector meme", "the truth is out there… and it’s usually a lie 🧐"
"back in my day meme", "grumpy old man perspective on life 😠"
"mugatu so hot right now meme", "Mugatu’s too hot to handle 🔥"
"say that again i dare you meme", "Samuel L. Jackson’s got some words for you 😤"
"this is where i'd put my trophy meme", "but I don’t have one... yet 🏆"
"conspiracy keanu meme", "Keanu’s not sure but it’s all connected 🤔"
"awkward moment sealion meme", "that awkward moment when... 🦭"
"steve harvey meme", "the face when you’re about to mess up big time 😬"
"imagination spongebob meme", "I’ve got big ideas but no one listens 🌈"
"jack sparrow being chased meme", "when you’re running from responsibility 🏃‍♂️"
"ain’t nobody got time for that meme", "time for everything but this 🕐"
"and everybody loses their minds meme", "Heath Ledger Joker did it best 😂"
"see nobody cares meme", "just ignore me while I do my thing 🦖"
"skeptical baby meme", "this baby knows more than we do 👶"
"i should buy a boat cat meme", "thinking of buying a boat... or not 🛥️"
"archer meme", "do you want ants? Because that’s how you get ants 🐜"
"look at me meme", "I’m the captain now 🚢"
"uncle sam meme", "I want YOU... to chill 😎"
"scumbag steve meme", "Steve’s back at it again with the bad decisions 👎"
